node,community
Maverick Viñales,9
Jack Miller,9
Eugene Laverty,9
Takumi Takahashi,9
Tito Rabat,9
Alex Lowes,9
Mike Jones,9
Alex Rins,9
Jonas Folger,9
Johann Zarco,9
Sam Lowes,9
Michael Van Der Mark,9
Franco Morbidelli,9
Hafizh Syahrin,9
Thomas Luthi,9
Takaaki Nakagami,9
Xavier Simeon,9
Christophe Ponsson,9
Jordi Torres,9
Fabio Quartararo,9
Miguel Oliveira,9
Francesco Bagnaia,9
Joan Mir,9
Alex Marquez,9
Brad Binder,9
Iker Lecuona,9
Enea Bastianini,9
Luca Marini,9
Jorge Martin,9
Lorenzo Savadori,9
Remy Gardner,9
Darryn Binder,9
Fabio Di Giannantonio,9
Raul Fernandez,9
Marco Bezzecchi,9
Kazuki Watanabe,9
Tetsuta Nagashima,9
Augusto Fernandez,9
Pedro Acosta,9
Fermin Aldeguer,9
Somkiat Chantra,9
Ai Ogura,9
Nicolo Bulega,9
